Debit Note,اشعار مدين,
Debit To,مدين إلى,
Debit in Company Currency,المدين بعملة الشركة,
Debtors - ES,المدينون,
Default Bank Account,حساب البنك الإفتراضي,
Default Buying Cost Center,مركز تكلفة المشتريات الإفتراضي,
Default Company Bank Account,حساب الشركة البنكي الإفتراضي,
Default Customer Group,مجموعة العملاء الإفتراضية,
Default Employee Advance Account,الحساب الافتراضي لدفعات الموظفين المقدمة,
Default Expense Account,حساب المصروفات الإفتراضي,
Default Finished Goods Warehouse,مخزن المنتج التام الإفتراضي,
Default Income Account,حساب الإيرادات الإفتراضي,
Default Item Group,مجموعة الصنف الإفتراضية,
Default Material Request Type,النوع الإفتراضي لطلب المواد,
Default Payment Terms Template,نموذج شروط السداد الإفتراضية,
Default Price List,قائمة الأسعار الإفتراضية,
Default Purchase Unit of Measure,وحدة القياس الافتراضية للشراء,
Default Sales Unit of Measure,وحدة القياس الافتراضية للبيع,
Default Source Warehouse,المخزن الافتراضي (المصدر),
Default Stock UOM,وحدة قياس المخزون الإفتراضية,
Default Supplier,المورد الإفتراضي,
Default Target Warehouse,المخزن الافتراضي (الوجهة),
Default Valuation Method,طريقة حساب التكلفة الإفتراضية,
Default Warehouse,المخزن الإفتراضي,
Default Work In Progress Warehouse,مخزن تحت التشغيل الإفتراضي,
Default warehouse for Sales Return,المخزن الافتراضي لمرتجع المبيعات,
Deferred Revenue Account,حساب الإيراد المؤجل,
Delayed Tasks Summary,ملخص المهام المؤجلة,
Delete Accounting and Stock Ledger Entries on deletion of Transaction,احذف قيد اليومية والحركة المخزنية عند حذف الفاتورة المرتبطة,
Delivered By Supplier,يُسلَّم من المورد مباشرة,
Delivered Items To Be Billed,الاصناف المسلمة التى لم تفوتر بعد,
Delivered Qty,الكمية المُسلمة,
Delivered by Supplier (Drop Ship),تم شحنها من قبل المورد الى العميل,
Delivery Note,إذن تسليم,
Delivery Note Item,صنف إشعار التسليم,
Delivery Note Required,إذن التسليم الزامي,
Delivery Note Trends,معدلات اذون التسليم لكل صنف,
Delivery Warehouse,مخزن التسليم,
Department,قسم,
Department Tree,شجرة القسم,
Depreciation Expense Account,حساب مصاريف الاستهلاك,
Description,الوصف,
Designation,وظيفة,
Designer,مصمم,
Difference (Dr - Cr),الفرق (مدين - دائن),
Difference Amount (Company Currency),مبلغ الفرق (عملة الشركة),
Disable Change Log Notification,تعطيل اشعارات سجل التغييرات,
Disable Document Sharing,منع مشاركة المستندات,
Disable Rounded Total,تعطيل التقريب الإجمالي,
Disable Serial No And Batch Selector,تعطيل اختيار رقم التسلسل ورقم الباتش,
Disable System Update Notification,تعطيل اشعارات تحديثات النظام,
Disable Username/Password Login,تعطيل تسجيل الدخول باسم المستخدم وكلمة المرور,
Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,تعطيل إنشاء سجلات الوقت مقابل أوامر الإنتاج. لا يجوز تتبع العمليات مقابل أمر الإنتاج,
Discount (%) on Price List Rate with Margin,خصم (%) على سعر القائمة بالهامش,
Discount Account,حساب الخصم,
Discount Amount,مبلغ الخصم,
Discount Received Account,حساب الخصم المكتسب,
Dispatch - E,إيفاد,
Dispatch - ES,الإرساليات,
Dispatch Notification,إعلام إرسال,
Distributor,موزع معتمد,
Document Type,نوع المستند,
Documentation          ,شرح النظام,
Don't Create Loyalty Points,بدون نقاط ولاء,
Donation,تبرع,
Donations,التبرعات,
Donor,المتبرع,
Donor Name,اسم المتبرع,
Donor Type,نوع المتبرع,
Donors,المتبرعون,
Download Required Materials,تحميل المواد المطلوبة,
Draft,مؤقت,
Driver,السائق,
Drop Ship,الشحن المباشر,
Due Date,تاريخ الاستحقاق,
Duplicate Project with Tasks,تكرار المشروع بالمهمات,
Earnest Money - ES,كسب المال,
Edit,تعديل,
Edit Filters,تعديل الفرز,
Edit Posting Date and Time,تعديل تاريخ وتوقيت العملية,
Edit Tax Withholding Entries,تعديل قيود الاستقطاع الضريبي,
Edit in full page,التعديل في صفحة كاملة,
"Edit in full page for more options like assets, serial nos, batches etc.",يمكنك التعديل في الصفحة كاملة للحصول على المزيد من الخيارات مثل الأصول، الرقم التسلسلي، الباتش، الخ,
Effective From,تبدأ من,
Effective To,تنتهي في,
Effective from,سارية من,
Electronic Equipments - ES,المعدات الالكترونية,
Elements,عناصر,
Email Group,مجموعة البريد الإلكتروني,
Email IDs,البريد الإلكتروني,
Email Id,البريد الإلكتروني,
Email Template,نموذج البريد الإلكتروني,
Emergency Contact Name,اسم الشخص الذي يمكن الاتصال به في حالة الطوارئ,
Employee Benefit Application,طلب إعانة الموظف,
Employee Benefit Claim,مطالبة بإستحقاقات الموظف,
Employee Benefits,استحقاقات الموظفين,
Employee Checkin,تسجيل حضور الموظف ,
Employee Grievance,تظلمات الموظفين,
Employee Number,رقم الموظف,
Employee Onboarding,موظفون قيد التعيين,
Employee Onboarding Template, نموذج موظفون قيد التعيين,
Employee Other Income,دخل آخر للموظف,
Employee Separation Template,نموذج فصل الموظفين,
Employee Tax Exemption Declaration,اقرار اعفاء ضريبي للموظف,
Employee Tax Exemption Proof Submission,تقديم إثبات إعفاء ضريبي الموظف,
Employee Tax Exemption Sub Category,فئة مصنفة من الإعفاء الضريبي,
Employee loans - ES,قروض الموظفين,
Employees Working on a Holiday,موظفون يعملون في يوم العطلة,
Employees working on a holiday,موظفون يعملون في يوم العطلة,
Enable Capital Work in Progress Accounting,تمكين رأس المال الجاري في الحسابات,
Enable Common Party Accounting,تمكين كشف حساب موحد في حالة كان المورد عميل والعكس,
Enable Custom Cash Flow Format,تفعيل تنسيق التدفقات النقديه المخصص,
Enable Deferred Revenue,تفعيل الإيراد المؤجل,
Enabling ensure each Purchase Invoice has a unique value in Supplier Invoice No. field,التأكد من عدم تكرار رقم فاتورة المورد في فواتير الشراء,
Enabling this will allow creation of multi-currency invoices against single party account in company currency,سيسمح تمكين هذا الخيار بإصدار فواتير متعددة العملات مقابل حساب طرف واحد بعملة الشركة,
Encashment,المدفوعات النقدية,
Encrypt Backups,تشفير النسخ الاحتياطي,
Encshment,المدفوعات النقدية,
End Date,تاريخ الإنتهاء,
End of Life,تاريخ الإنتهاء,
Ends On,ينتهي بتاريخ,
Energy Point Log,سجل نقاط تقييم الاداء,
Energy Point Rule,قواعد نقاط تقييم الاداء,
Engineer,مهندس,
Enough Parts to Build,الأجزاء الكافية للبناء,
Ensure Delivery Based on Produced Serial No,ضمان التسليم بناء على الرقم التسلسلي المنتج,
Enter url parameter for message,ادخل رابط المعامل للرسالة,
Enter url parameter for receiver nos,ادخل رابط المعامل للمستلم,
Entry Type,نوع القيد,
Equal Payments ,مدفوعات متساوية,
Error Description,وصف الخطأ,
Establishment - ES,مؤسسة -,
Exception Budget Approver Role,المسئول عن الموافقة عن الموازنة الاستثنائية,
Exchange Gain/Loss,أرباح/خسائر فروق العملة,
Exchange Rate,سعر الصرف,
Excise Entry,قيود تسويات الضرائب والجمارك,
Expand All,توسيع الكل,
Expected Delivery Date,الوقت المتوقع للتسليم,
Expected End Date,التاريخ المتوقع للإنتهاء,
Expected Start Date,التاريخ المتوقع للبدء,
Expected Value After Useful Life,القيمة المتوقعة بعد الإستخدام,
Expense Account,حساب المصروفات,
Expense Claim,مطالبة مصروفات,
Expense Claims,تسوية العُهد,
Expenses,المصروفات,
Failure Date,تاريخ التلف,
Feedback,ملاحظات,
Female,أنثى,
Field Name,اسم الخانة,
Fields,الخانات,
Fields will be copied over only at time of creation.,سيتم نسخ الخانات فقط عند انشاء الاصناف,
Filter,تصنيف,
Filter By,فرز بواسطة,
Finance Book,الدفتر المالي,
Financial Statements,القوائم المالية,
Finished Good,المنتج التام,
Finished Good Qty,كمية المنتج التام,
Finished Goods,المنتج التام,
First Day of the Week,أول أيام الأسبوع,
First Name,الأسم الأول,
First Responded On,تاريخ أول استجابة,
For All Stock Asset Accounts,لكل حسابات أصول المخزون,
For Price List,لقائمة الأسعار,
For Warehouse,لمخزن,
Forgot password?,هل نسيت كلمة السر؟,
Freeze Stocks Older Than [Days],تجميد إدخالات المخزون الأقدم من (أيام),
Frequency of Depreciation (Months),تكرار الإهلاك (الشهور),
From BOM,من قائمة مكونات المواد,
From Template,من نموذج,
From Warehouse,من مخزن,
Fulfilled,تم التحقيق,
Fulfilment Deadline,الموعد النهائي للتحقيق,
Fulfilment Terms,شروط التحقيق,
Full Name,الاسم بالكامل,
Full-time,عمل كامل ,
Fully Completed,أنجزت بالكامل,
Furnitures and Fixtures - ES,اثاث و تركيبات,
Gain/Loss Account on Asset Disposal,حساب الربح / الخسارة الخاص بالتصرف فى الاصل,
Genderqueer,جنس,
Get Advances Paid,الحصول على الدفعات المقدمة,
Get Advances Received,الحصول على الدفعات المقدمة المستلمة,
Get Balance,جلب الرصيد,
Get Items From,الحصول على الأصناف من,
Get Items From Purchase Receipts,الحصول على الأصناف من أذون إستلام مشتريات,
Get Latest Query,Get Latest Query,
Get Outstanding Invoices,جلب الفواتير المستحقة,
Get Outstanding Orders,جلب الأوامر المستحقة,
Get Started Sections,الحصول على أقسام البدء,
Get current stock,الحصول على رصيد المخزون الحالي,
Gift Card,كارت هدية,
Graduate,متخرج,
Grand Total,الإجمالي النهائي,
Grand Total (Company Currency,الإجمالي النهائي (بعملة الشركة,
Grand Total (Company Currency),الإجمالي النهائي (بعملة الشركة),
Grant,منحة,
Grant Application,طلب منحة,
Grant Commission,منح عمولة,
Grievance Type,نوع التظلم,
Gross Margin,إجمالي هامش الربح,
Gross Margin %,نسبة هامش الربح,
Gross Profit,"إجمالي الأرباح_x000D_
",
Group By,تجميع ب,
Group same items,تجميع الأصناف المتشابهة,
HR,الموارد البشرية,
HR Manager,مدير الموارد البشرية,
HR Setup,إعداد الموارد البشرية,
Half-Yearly,نصف سنوي,
Has Batch No,له رقم باتش,
Has Certificate,يوجد شهادة,
Has Serial No,له رقم تسلسلي,
Has Variants,له متغيرات,
Have Default Naming Series for Batch ID?,تسمية افتراضية لرقم البتاتش؟,
Head of Marketing and Sales,رئيس التسويق والمبيعات,
Health Insurance Provider,شركة التأمين الصحي,
Hide Customer's Tax Id from Sales Transactions,إخفاء السجل الضريبي للعميل من معاملات المبيعات,
Hold Invoice,تعليق الفاتورة,
Hold Type,نوع الحظر,
Hour Rate,سعر الساعة,
Hour Rate (EGP),سعر الساعة (EGP),
Hub Warehouse,مخزن المركز الرئيسي,
Human Resources - E,الموارد البشرية,
ID,الاسم التعريفي,
INSURANCE DETAILS,تفاصيل التأمين,
Identification of the package for the delivery (for print),اظهار حزمة المنتجات المطلوب تسليمها في الطباعه,
"If blank, parent Warehouse Account or company default will be considered",إذا كانت فارغة، فسيتم إعتبار حساب المخزن الرئيسي للشركة هو الإفتراضي,
"If enabled, ledger entries will be posted for change amount in POS transactions",في حالة التمكين ، سيتم ترحيل إدخالات دفتر الأستاذ المبلغ المقرب في حركات نقاط البيع,
"If enabled, system will create the work order for the exploded items against which BOM is available.",إذا تم تمكين هذا الإختيار، سيقوم النظام بإنشاء أوامر إنتاج للأصناف المستخدمة في قائمة مكومات المواد,
"If mentioned, the system will allow only the users with this Role to create or modify any stock transaction earlier than the latest stock transaction for a specific item and warehouse. If set as blank, it allows all users to create/edit back-dated transactions.",إذا تم ذكر ذلك ، فسيسمح النظام فقط للمستخدمين الذين لديهم هذه الدور بإنشاء أو تعديل أي معاملة مخزون قبل آخر معاملة مخزون لعنصر ومستودع معين. إذا تم تعيينه على أنه فارغ ، فإنه يسمح لجميع المستخدمين بإنشاء / تحرير المعاملات القديمة.,
If subcontracted to a vendor,إذا تم تشغيلها لدى الغير,
"If this item has variants, then it cannot be selected in sales orders etc.",اذا كان الصنف رئيسي وله متغيرات فلا يمكن استخدامه في المعاملات ويجب استخدام احد متغيراته,
Ignore Pricing Rule,تجاهل شروط التسعير,
Ignore Tax Withholding Threshold,تجاهل حد الاستقطاع الضريبي,
Implementation  - ES,التنفيذ,
Implementation Partner,شريك التنفيذ,
Import,استيراد,
In Advance,مقدما,
In Process,تحت المعالجة,
In Stock Qty,الكمية المتاحة في المخزن,
In Words,المبلغ كتابةً,
In Words (Company Currency),المبلغ كتابةً (عملة الشركة),
Inactive Customers,عملاء غير نشيطين,
Incentives,حوافز,
Include Exploded Items,تضمين جميع مستويات قائمة المواد ,
Include Item In Manufacturing,الصنف يتم تصنيعه,
Include Non Stock Items,تضمن الأصناف الغير مخزنية,
Include Payment (POS),مسدد,
Include Subcontracted Items,تضمن أصناف التشغيل لدى الغير,
Income Account,حساب الإيرادات,
Income Tax,ضريبة الدخل ,
Income Tax Slab,شريحة ضريبة الدخل,
Incoming,وارد,
Incoming Rate,السعر الوارد,
Incorrect Data Report,تقرير البيانات الغير صحيحة,
Incorrect Serial No Valuation,الرقم التسلسلي الغير صحيح,
Incoterm,شرط التسليم الدولي (Incoterm),
